# THIS IS THE MAIN FILE


A-5 Appendix II -2011,,,,,,,,,,,
HOUSELESS AND INSTITUTIONAL HOUSEHOLDS AND THEIR POPULATION,,,,,,,,,,,
State Code,Level,Name,,Houseless households and population,,,,Institutional households and population,,,
,,,TRU,Number of Households,Persons,Male,Female,Number of Households,Persons,Male,Female
00,INDIA,INDIA,Total,"  449,787 ","  1,773,040 ","  1,046,871 ","  726,169 ","  643,382 ","  8,545,651 ","  5,336,761 ","  3,208,890 "
00,INDIA,INDIA,Rural,"  192,891 ","  834,692 ","  444,450 ","  390,242 ","  341,263 ","  4,520,591 ","  2,694,194 ","  1,826,397 "
00,INDIA,INDIA,Urban,"  256,896 ","  938,348 ","  602,421 ","  335,927 ","  302,119 ","  4,025,060 ","  2,642,567 ","  1,382,493 "
01,STATE,JAMMU & KASHMIR,Total,"  3,064 ","  19,047 ","  10,524 ","  8,523 ","  12,121 ","  356,652 ","  330,127 ","  26,525 "
01,STATE,JAMMU & KASHMIR,Rural,"  1,441 ","  8,199 ","  4,465 ","  3,734 ","  5,132 ","  147,038 ","  134,341 ","  12,697 "
01,STATE,JAMMU & KASHMIR,Urban,"  1,623 ","  10,848 ","  6,059 ","  4,789 ","  6,989 ","  209,614 ","  195,786 ","  13,828 "
02,STATE,Himachal Pradesh,Total,  935 ,"  4,098 ","  2,481 ","  1,617 ","  3,137 ","  62,532 ","  45,752 ","  16,780 "
02,STATE,Himachal Pradesh,Rural,  708 ,"  3,226 ","  1,929 ","  1,297 ","  2,116 ","  40,439 ","  29,664 ","  10,775 "
02,STATE,Himachal Pradesh,Urban,  227 ,  872 ,  552 ,  320 ,"  1,021 ","  22,093 ","  16,088 ","  6,005 "
03,STATE,Punjab,Total,"  9,853 ","  46,714 ","  25,814 ","  20,900 ","  16,367 ","  181,186 ","  136,803 ","  44,383 "
03,STATE,Punjab,Rural,"  5,431 ","  28,340 ","  15,255 ","  13,085 ","  7,704 ","  57,328 ","  36,639 ","  20,689 "
03,STATE,Punjab,Urban,"  4,422 ","  18,374 ","  10,559 ","  7,815 ","  8,663 ","  123,858 ","  100,164 ","  23,694 "
04,STATE,Chandigarh,Total,  868 ,"  4,139 ","  3,837 ",  302 ,  649 ,"  19,280 ","  12,228 ","  7,052 "
04,STATE,Chandigarh,Rural,  1 ,  6 ,  4 ,  2 ,  2 ,  18 ,  12 ,  6 
04,STATE,Chandigarh,Urban,  867 ,"  4,133 ","  3,833 ",  300 ,  647 ,"  19,262 ","  12,216 ","  7,046 "
05,STATE,Uttrakhand,Total,"  3,273 ","  11,824 ","  7,917 ","  3,907 ","  7,593 ","  104,204 ","  77,654 ","  26,550 "
05,STATE,Uttrakhand,Rural,"  1,326 ","  6,268 ","  4,140 ","  2,128 ","  3,311 ","  42,073 ","  27,919 ","  14,154 "
05,STATE,Uttrakhand,Urban,"  1,947 ","  5,556 ","  3,777 ","  1,779 ","  4,282 ","  62,131 ","  49,735 ","  12,396 "
06,STATE,HARYANA,Total,"  11,635 ","  51,871 ","  28,748 ","  23,123 ","  10,124 ","  112,805 ","  80,450 ","  32,355 "
06,STATE,HARYANA,Rural,"  5,771 ","  28,082 ","  15,192 ","  12,890 ","  4,290 ","  46,891 ","  31,338 ","  15,553 "
06,STATE,HARYANA,Urban,"  5,864 ","  23,789 ","  13,556 ","  10,233 ","  5,834 ","  65,914 ","  49,112 ","  16,802 "
07,STATE,NCT OF DELHI,Total,"  23,175 ","  47,076 ","  37,836 ","  9,240 ","  5,238 ","  82,927 ","  65,558 ","  17,369 "
07,STATE,NCT OF DELHI,Rural,  97 ,  352 ,  206 ,  146 ,  66 ,  987 ,  680 ,  307 
07,STATE,NCT OF DELHI,Urban,"  23,078 ","  46,724 ","  37,630 ","  9,094 ","  5,172 ","  81,940 ","  64,878 ","  17,062 "
08,STATE,RAJASTHAN,Total,"  37,341 ","  181,544 ","  97,568 ","  83,976 ","  22,382 ","  251,572 ","  175,752 ","  75,820 "
08,STATE,RAJASTHAN,Rural,"  20,956 ","  108,308 ","  57,521 ","  50,787 ","  11,552 ","  105,783 ","  67,872 ","  37,911 "
08,STATE,RAJASTHAN,Urban,"  16,385 ","  73,236 ","  40,047 ","  33,189 ","  10,830 ","  145,789 ","  107,880 ","  37,909 "
09,STATE,UTTAR PRADESH,Total,"  72,452 ","  329,125 ","  205,662 ","  123,463 ","  143,150 ","  1,026,428 ","  587,896 ","  438,532 "
